sequence,concept,site_id,lookup_key,subject,family,prior_priority,current_disposition,current_status,mathematical_and_pedagogical_review,required_rework,acceptance_gate,recommended_visualisation,source_alignment,implementation_epic,estimated_effort,final_disposition,delivery_evidence
11,Lagrange,mh2220-lagrange,"navTitle exact match: ""Lagrange""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The coset-counting argument is fundamentally sound. The failed converse needs more than a named counterexample.,"Show an actual partition, prove equal coset sizes by a bijection, and justify why A₄ has no subgroup of order 6. Link element-order divisibility without suggesting all divisors occur as subgroup orders.",Reconstruct the counting proof and distinguish a necessary divisibility condition from an existence theorem.,Coset tiling of a finite group plus subgroup-size divisibility and index dashboard.,MH2220,E2-groups-foundations,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-lagrange; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
12,Euler & Fermat,mh2220-euler-fermat,"navTitle exact match: ""Euler & Fermat""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","These are suitable applications of finite group order, but the exponent formatting and prerequisites need cleaning.",State coprimality at the point of use; derive the prime case from the unit group and then the all-integers version of aᵖ≡a. Include a computation and a noncoprime failure.,Explain why Euler’s exponent cannot be applied to an arbitrary residue.,"Orbit/cyclic-subgroup animation explaining exponent reduction, not only modular arithmetic output.",MH2220,E2-groups-foundations,M,pending,
13,Cayley’s theorem,mh2220-cayley-embedding,"navTitle exact match: ""Cayley’s theorem""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The left-regular-action proof is a good bridge to actions, but it is too abstract without an explicit embedding.","Build the permutations induced by left multiplication in C₃ or S₃, verify injectivity and composition, and distinguish existence of an embedding from minimal permutation degree.",Construct the embedding for a small group rather than merely quote its existence.,Regular-action embedding that converts each element into a permutation and checks injectivity.,MH2220,E2-groups-foundations,M,guided lesson and V03 laboratory delivered,Issue #44; lib/algebra/guided-lessons.json; lib/algebra/cayley-words.ts; components/algebra/CayleyRelations.tsx; components/algebra/CyclicSubgroups.tsx; components/algebra/CayleyEmbedding.tsx; tests/cayley-words.test.mjs; tests/browser/cayley-words.spec.mjs. S3 presentation completeness uses a normal-form argument; finite word tables alone do not prove an arbitrary presentation.
14,Circle quotient,mh2220-real-circle,"navTitle exact match: ""Circle quotient""",Groups & symmetry,Groups & generators,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The quotient idea is valuable, but complex exponentials, the circle group and SO(2) create an unannounced prerequisite jump.",Move this after quotient groups and basic complex numbers. Carefully distinguish ℝ/ℤ via exp(2πit) from ℝ/(2πℤ) via rotation angles.,Identify the kernel of each map and explain why the two quotient descriptions are isomorphic.,"Wrap-the-line-to-circle quotient animation with fibers, cosets and well-defined addition.",MH2220,E2-groups-foundations,L,pending,
15,Polygon symmetries,mh2220-dihedral,"navTitle exact match: ""Polygon symmetries""",Groups & symmetry,Geometric symmetry,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The normal form, group size and composition convention are handled well. The presentation is still a steep first encounter with symmetry.","Begin with labelled triangle and square motions before introducing ⟨r,s⟩. Animate sr=r⁻¹s, derive the multiplication formula and prove all 2n normal forms are distinct for n≥3.",Translate a chronological sequence of moves into the correctly ordered product and reduce it.,"Geometry-first symmetry animation synchronized with matrices, permutations and group words.",MH2220; Odyssey/cube visual strand,E3-actions-symmetry,M,guided teaching gate delivered; relation animation pending,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; labelled n-gon normal forms and right-to-left word proof
16,Signed permutations,cube-signed-permutations,"navTitle exact match: ""Signed permutations""",Groups & symmetry,Geometric symmetry,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The 48-versus-24 distinction and coordinate proof are strong. This should be a destination reached after simpler actions, not unexplained machinery.","Construct one signed permutation matrix from images of the axes, then derive the count and determinant formula. Compare the normal sign-change subgroup with the permutation part.",Recover the signed data from a matrix and explain why every such matrix preserves the cube.,"Concept-specific geometric symmetry model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey/cube visual strand,E3-actions-symmetry,L,pending,
17,Words of motions,cube-generator-words,"navTitle exact match: ""Words of motions""",Groups & symmetry,Geometric symmetry,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The generator argument and rightmost-first convention are mathematically useful. The learner must distinguish the resulting transformation from its chosen word.,"Show an action timeline beside the reverse-ordered matrix product. Explain what the chosen generator alphabet means for “shortest,” and exhibit two different words for the same element.",Verify AB≠BA on a specific vector and explain why listed relations need not be a complete presentation.,"Concept-specific geometric symmetry model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey/cube visual strand,E3-actions-symmetry,L,pending,
18,Rotations & diagonals,cube-diagonals-s4,"navTitle exact match: ""Rotations & diagonals""",Groups & symmetry,Geometric symmetry,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The proof that cube rotations give S₄, while the full group only maps onto S₄, is a particularly good lesson.","Make the kernel proof a visible prerequisite, label the four unoriented diagonals persistently and calculate the generator permutations. Derive bijectivity from injectivity and equal finite orders.",Explain why a spatial quarter-turn has determinant +1 but an odd permutation on the diagonals.,"Geometry-first symmetry animation synchronized with matrices, permutations and group words.",MH2220; Odyssey/cube visual strand,E3-actions-symmetry,L,pending,
19,Orthogonality,orthogonal-metric-orientation,"navTitle exact match: ""Orthogonality""",Groups & symmetry,Geometric symmetry,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The text correctly distinguishes metric preservation, orientation and central inversion. The shared lab does not honor every lesson-specific setting.","Prove preservation of inner products directly and compare a plane reflection with −I₃, including their fixed spaces. Synchronize the selected dimension, normal vector and matrix with the explanation.","Distinguish orthogonality, determinant one and preservation of the particular cube.","Geometry-first symmetry animation synchronized with matrices, permutations and group words.",MH2220; Odyssey/cube visual strand,E3-actions-symmetry,M,guided lesson and V09 laboratory delivered,Issue #42; lib/algebra/guided-lessons.json; lib/algebra/lab-contracts.json; tests/orthogonal-geometry.test.mjs; tests/browser/orthogonal-geometry.spec.mjs. General metric and rotation proofs remain in lesson; finite cube matching applies only to the selected solid.
20,Plane rotations,orthogonal-plane,"navTitle exact match: ""Plane rotations""",Groups & symmetry,Geometric symmetry,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,"The abstract O(2) description is sound, but the lesson uses reflection diag(1,−1) while the lab reverses the first column, corresponding to diag(−1,1). Several rotation subscripts are malformed.","Use the same reflection F everywhere, or visibly translate conventions. Show both FRθ and RθF and the actual reflection line. Repair Rθ and R−θ notation.","At θ=0, the displayed matrix, fixed line and stated reflection must agree.",Matrix/frame animation showing the fixed reflection line and FRF=R⁻¹ side by side.,MH2220,E3-actions-symmetry,M,guided lesson and V09 laboratory delivered,Issue #42; lib/algebra/guided-lessons.json; lib/algebra/lab-contracts.json; tests/orthogonal-geometry.test.mjs; tests/browser/orthogonal-geometry.spec.mjs. General metric and rotation proofs remain in lesson; finite cube matching applies only to the selected solid.
21,Axis & angle,orthogonal-axis-angle,"navTitle exact match: ""Axis & angle""",Groups & symmetry,Geometric symmetry,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,"The Rodrigues formula and endpoint caveats are good. The assigned cyclic lab ignores the requested body-diagonal axis and continuous angle, showing finite z-axis rotations instead.","Supply an actual arbitrary-axis, continuous-angle lab, or relabel the experiment as a restricted illustration. Explain θ=0 and θ=π nonuniqueness and separate cube-preserving angles from general rotations.","Set axis (1,1,1), vary θ continuously, and identify exactly the cube symmetries along that family.",Continuous arbitrary-axis Rodrigues explorer with cube-symmetry angles highlighted separately.,MH2220; Odyssey/cube visual strand,E3-actions-symmetry,M,guided lesson and V09 laboratory delivered,Issue #42; lib/algebra/guided-lessons.json; lib/algebra/lab-contracts.json; tests/orthogonal-geometry.test.mjs; tests/browser/orthogonal-geometry.spec.mjs. General metric and rotation proofs remain in lesson; finite cube matching applies only to the selected solid.
22,Small group orders,mh2220-small-groups,"navTitle exact match: ""Small group orders""",Groups & symmetry,Finite group structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Classification at small orders is presented too quickly; finding elements of prime orders imports Cauchy before that result is established.,Teach Cauchy or explicitly mark it as a prerequisite. Give a complete order-six argument and explain why the resulting possibilities exhaust the cases. Avoid importing semidirect-product language before defining it.,Classify order-six groups with every existence and normality step justified.,"Concept-specific finite group structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-groups-foundations,M,guided teaching gate delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; Cauchy/index-two/two conjugation actions
23,Commutators,mh2220-commutator,"navTitle exact match: ""Commutators""",Groups & symmetry,Finite group structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The convention and abelian quotient are useful, but a formula is not yet an explanation of what a commutator measures.",Compare ab with ba and compute commutators in S₃. Prove normality of the generated subgroup and the universal property of abelianization.,Show why every homomorphism to an abelian group kills the commutator subgroup.,"Concept-specific finite group structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-groups-foundations,M,pending,
24,Abelian decomposition,mh2220-finite-abelian,"navTitle exact match: ""Abelian decomposition""",Groups & symmetry,Finite group structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The theorem is substantial; a short assertion about complements does not teach its proof or uniqueness.,"Separate elementary divisors from invariant factors, give a conversion algorithm and examples of nonisomorphic groups of the same order. Supply the key splitting argument or label the theorem imported.",List the abelian groups of a specified order and distinguish them using element orders.,"Concept-specific finite group structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-groups-foundations,M,pending,
25,Order eight,mh2220-quaternion,"navTitle exact match: ""Order eight""",Groups & symmetry,Finite group structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The five-group classification and quaternion example are useful, but the proof needs a real case split.","Explain why exponent two forces commutativity, then handle a nonabelian group with an element of order four. Compare D₄ and Q₈ using involutions, subgroup structure and presentations.",Distinguish D₄ from Q₈ without relying on their size or ordinary character table.,"Concept-specific finite group structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-groups-foundations,L,pending,
26,Centralizers & normalizers,mh2220-centralizer-normalizer,"navTitle exact match: ""Centralizers & normalizers""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Three different ideas—centralizing an element, normalizing a subgroup and being central—are densely bundled.","Work one D₄ example of each. Derive N_G(H)/C_G(H) embedding in Aut(H) from the conjugation map, with kernel and image clearly identified.",Produce an element that normalizes a subgroup without centralizing it.,Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH2220,E3-actions-symmetry,M,pending,
27,Actions,mh2220-actions,"navTitle exact match: ""Actions""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The action axioms and homomorphism viewpoint are present, but the learner needs the types of G, X and the action map before their notation is useful.","Start with a labelled polygon, list what each group element does to every label, then formalize G×X→X and G→Sym(X). Include a failed action and a nongeometric action.",Verify the action laws and tell the group from the set it acts on.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,M,guided teaching and foundation laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; components/algebra/OrbitWorkbench.tsx; tests/browser/foundation-labs.spec.mjs; labelled triangle and property grid
28,Orbit–stabilizer,mh2220-orbit-stabilizer,"navTitle exact match: ""Orbit–stabilizer""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The coset-to-orbit proof is sound but deserves a full worked example and explicit well-definedness, injectivity and surjectivity.","Use S₃ on three points first, then the cube. Distinguish a stabilizer element from an orbit point and a G-set bijection from a quotient-group isomorphism.",Prove gGₓ↦gx is a well-defined bijection and compute both sides in a new action.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,M,guided teaching and foundation laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; components/algebra/OrbitWorkbench.tsx; tests/browser/foundation-labs.spec.mjs
29,Conjugacy,mh2220-conjugacy,"navTitle exact match: ""Conjugacy""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Conjugacy classes, class sizes and the class equation are concentrated into a small space.",First explain conjugation as changing the description of a transformation. Compute every class of S₃ and then derive the class equation and its central contribution.,Find a centralizer and use its index to calculate a conjugacy-class size.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,M,pending,
30,Burnside’s lemma,mh2220-burnside,"navTitle exact match: ""Burnside’s lemma""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The double-counting argument is correct. The main teaching risk is confusing fixed underlying objects with fixed configurations.,"Define the action on colorings explicitly, show why a fixed coloring is constant on cycles, and perform one full fixed-point table. Contrast the result with naive division by group order.",Explain why an element fixing no vertices may still fix many colorings.,Fixed-point table and orbit counter with each group element/class shown before the average is taken.,MH2220,E3-actions-symmetry,M,guided lesson and V06 laboratory delivered,Issue #40; lib/algebra/guided-lessons.json; lib/algebra/fixed-colorings.ts; tests/fixed-colorings.test.mjs; tests/browser/fixed-colorings.spec.mjs
31,Necklaces,mh2220-necklaces,"navTitle exact match: ""Necklaces""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The necklace and bracelet distinctions are valuable, but a numerical total does not reveal the reflection cases.",Work the six-bead binary example from the cycle types. Separate odd/even numbers of beads and the two reflection types for even n. State whether colors may be unused.,"Derive, rather than recall, the fixed-coloring count for each reflection type.",Fixed-point table and orbit counter with each group element/class shown before the average is taken.,MH2220; Odyssey/cube visual strand,E3-actions-symmetry,M,guided lesson and V06 laboratory delivered,Issue #40; lib/algebra/guided-lessons.json; lib/algebra/fixed-colorings.ts; tests/fixed-colorings.test.mjs; tests/browser/fixed-colorings.spec.mjs
32,Cycle index,mh2220-cycle-index,"navTitle exact match: ""Cycle index""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The present univariate cycle-count identity is useful but does not amount to teaching the full multivariate cycle index or Pólya enumeration.,"Either narrow the lesson title or define Z_G(a₁,…,aₙ), derive the averaging formula, and substitute color inventories. Connect fixed multiplicities to coefficients, not just total colors.","Count colorings with a prescribed inventory, explaining the substitution used.",Fixed-point table and orbit counter with each group element/class shown before the average is taken.,MH2220,E3-actions-symmetry,M,guided lesson and V06 laboratory delivered,Issue #40; lib/algebra/guided-lessons.json; lib/algebra/fixed-colorings.ts; tests/fixed-colorings.test.mjs; tests/browser/fixed-colorings.spec.mjs
33,Solid colorings,mh2220-solid-colorings,"navTitle exact match: ""Solid colorings""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The tetrahedron and cube-vertex formulas are credible endpoints but need the geometric classification that produces each coefficient.,"Draw each rotation-axis type, count its elements and trace its cycles on the specified feature set. Separate vertices, faces and edges; provide a matching solid rather than an unrelated generic experiment.",Rebuild one coloring polynomial from a class/cycle table.,Fixed-point table and orbit counter with each group element/class shown before the average is taken.,MH2220; Odyssey/cube visual strand,E3-actions-symmetry,M,guided lesson and V06 laboratory delivered,Issue #40; lib/algebra/guided-lessons.json; lib/algebra/fixed-colorings.ts; tests/fixed-colorings.test.mjs; tests/browser/fixed-colorings.spec.mjs
34,Four cube actions,cube-four-actions,"navTitle exact match: ""Four cube actions""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","This is one of the strongest mathematical capsules, especially the diagonal kernel. It is nevertheless too advanced as the default first lesson.","Retain it as a guided synthesis of actions, kernels and representations. Reveal vertices, edges, faces and diagonals one at a time with exact object definitions and synchronized labels.",Explain why −I is invisible on unoriented diagonals but not on vertices.,"Geometry-first symmetry animation synchronized with matrices, permutations and group words.",MH2220,E3-actions-symmetry,M,pending,
35,Fix one object,cube-orbit-stabilizer,"navTitle exact match: ""Fix one object""",Groups & symmetry,Actions & counting,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The stabilizer orders are correct; numbers alone do not explain the remaining freedom.,"List the actual stabilizer motions of a selected vertex, edge, face and diagonal. Distinguish setwise preservation from fixing all constituent points, then recover 24 and 48 by orbit–stabilizer.",Identify which stabilizer motions exchange the endpoints of an edge or diagonal.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,L,pending,
36,Faithful & transitive,actions-faithful-transitive,"navTitle exact match: ""Faithful & transitive""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The independence examples are well chosen. Free and regular actions appear as warnings rather than a developed comparison.,"Add a property grid with faithful, transitive, free and regular, giving examples and counterexamples for the implications. Keep the same group while changing the acted-on set.",Explain why a transitive action with a nontrivial stabilizer can still be faithful.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,M,guided teaching and foundation laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; components/algebra/OrbitWorkbench.tsx; computed property grid
37,Stabilizers & kernels,actions-stabilizer-kernel-core,"navTitle exact match: ""Stabilizers & kernels""",Groups & symmetry,Actions & counting,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The core formula and largest-normal-subgroup interpretation are valuable but overlap with the earlier coset-action lesson.,Make this an explicit second-stage lesson rather than an apparently unrelated repetition. Compute several conjugate stabilizers and their intersection in one small group before displaying the general core.,Find a nontrivial stabilizer and a trivial kernel in the same action.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,M,guided teaching and foundation laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; components/algebra/OrbitWorkbench.tsx; nontransitive core/kernel example
